,WWSH_WWSH_0,WSPD_WSPD_30min_0,WSPD_WSPD_30min_1,WSPD_WSPD_30min_2,WSPD_WSPD_30min_3
2018-06-04 20:59:00.004053,0.41999998688697815,26.172,24.1416,22.3056,24.3324
2018-06-04 22:59:00.004056,0.47999998927116394,26.3772,27.4248,26.5968,25.7796
2018-06-05 00:59:00.004059,0.4699999988079071,21.2256,19.9008,22.8204,26.1324
2018-06-05 02:59:00.004062,0.4399999976158142,25.848,22.5756,20.4372,22.5972
2018-06-05 04:59:00.004065,0.3400000035762787,16.9992,18.36,20.9988,22.3308
2018-06-05 06:59:00.004068,0.25,8.856,8.658,14.0112,15.4188
2018-06-05 08:59:00.004071,0.3100000023841858,12.5604,15.102,15.3648,12.9168
2018-06-05 10:59:00.004074,0.2800000011920929,5.3136,14.8716,14.3964,10.2204
2018-06-05 12:59:00.004077,0.25,0.9936,0.0684,0.0,0.0
2018-06-05 14:59:00.004080,0.12999999523162842,5.8104,5.652,6.3108,3.6792
2018-06-05 16:59:00.004083,0.05999999865889549,13.1508,8.0784,8.3808,6.8436
2018-06-05 18:59:00.004086,0.6000000238418579,27.0468,21.7944,19.638,17.154
2018-06-05 20:59:00.004089,0.5099999904632568,22.8348,24.9444,29.52,29.88
2018-06-05 22:59:00.004092,0.5099999904632568,24.1884,24.6528,31.104,22.968
2018-06-06 00:59:00.004095,0.4399999976158142,21.1176,21.834,23.4396,25.3584
2018-06-06 02:59:00.004098,0.3700000047683716,19.7064,16.4124,16.6176,18.5652
2018-06-06 04:59:00.004101,0.4300000071525574,18.0612,18.8964,21.276,21.0852
2018-06-06 06:59:00.004104,0.3499999940395355,18.2844,15.5052,13.4136,15.1704
2018-06-06 08:59:00.004107,0.20000000298023224,9.2376,12.4668,18.8316,18.6264
2018-06-06 10:59:00.004110,0.12999999523162842,9.0072,7.938,9.306,11.682
2018-06-06 12:59:00.004113,0.09000000357627869,8.4852,9.036,10.6164,9.2808
2018-06-06 14:59:00.004116,0.019999999552965164,6.8724,9.5724,11.1528,8.406
2018-06-06 16:59:00.004119,0.019999999552965164,4.4352,5.8392,6.822,8.4528
2018-06-06 18:59:00.004122,0.0,1.962,2.7324,3.4956,5.5584
2018-06-06 20:59:00.004125,0.0,8.9064,5.3604,4.2336,2.5272
2018-06-06 22:59:00.004128,0.10999999940395355,19.3788,18.2268,14.976,16.8444
2018-06-07 00:59:00.004131,0.36000001430511475,20.106,19.5696,19.5588,20.1132
2018-06-07 02:59:00.004134,0.28999999165534973,12.744,13.3956,16.7868,19.0404
2018-06-07 04:59:00.004137,0.20999999344348907,13.3056,18.522,17.2548,19.0944
2018-06-07 06:59:00.004140,0.36000001430511475,13.4316,17.3088,12.852,11.3688
2018-06-07 08:59:00.004143,0.27000001072883606,5.0904,7.578,13.7736,12.924
2018-06-07 10:59:00.004146,0.36000001430511475,15.3576,17.3592,14.9292,12.9348
2018-06-07 12:59:00.004149,0.3100000023841858,14.8032,12.798,10.3716,12.6504
2018-06-07 14:59:00.004152,0.17000000178813934,6.6312,8.8776,8.118,12.8448
2018-06-07 16:59:00.004155,0.10999999940395355,2.7288,0.0828,0.0648,1.764
2018-06-07 18:59:00.004158,0.14000000059604645,0.0,0.0,0.5868,6.6816
2018-06-07 20:59:00.004161,0.14000000059604645,8.1,12.3192,10.3896,0.5904
2018-06-07 22:59:00.004164,0.25,23.706,18.1692,6.9372,4.2768
2018-06-08 00:59:00.004167,0.44999998807907104,18.6048,18.9792,21.7584,26.2296
2018-06-08 02:59:00.004170,0.4399999976158142,13.3056,15.894,17.6076,21.1392
2018-06-08 04:59:00.004173,0.38999998569488525,20.1384,20.0124,15.0372,12.1464
2018-06-08 06:59:00.004176,0.36000001430511475,18.972,19.5912,18.2016,18.8892
2018-06-08 08:59:00.004179,0.41999998688697815,17.1108,15.4008,14.58,13.7304
2018-06-08 10:59:00.004182,0.28999999165534973,12.3768,14.9868,15.6348,16.6572
2018-06-08 12:59:00.004185,0.12999999523162842,9.9684,6.5988,9.4464,11.6064
2018-06-08 14:59:00.004188,0.03999999910593033,9.3204,11.1492,11.3148,11.9088
